accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_accel
0.5016,-0.0053,0.8727,0.0353,-0.5467,0.1813,29.8894
0.4989,0.0013,0.8535,-0.9668,0.1085,-0.757,30.3084
0.5038,-0.0004,0.8682,0.1222,0.0992,0.0026,30.1259
0.5027,0.0058,0.864,0.2669,0.4332,-0.3151,30.1926
0.4917,0.0036,0.8703,0.0499,-0.5353,-0.1854,29.4638
0.5046,-0.0083,0.8628,-0.0923,0.0623,0.2562,30.3213
0.5026,0.0022,0.8663,-0.0205,-0.0584,-0.2914,30.1208
0.5005,0.0061,0.8678,-0.4954,-0.3584,-0.1356,29.9718
0.495,0.0012,0.8663,-0.0901,-0.2759,0.2862,29.7404
0.5036,-0.003,0.863,0.0827,0.43,0.13,30.2638
0.5076,0.0,0.8666,0.1697,-0.3021,-0.4002,30.3577
0.5008,-0.0012,0.8686,-0.3657,-0.3222,0.3048,29.9693
0.5085,0.0023,0.8733,0.2467,-0.6203,-0.2162,30.2133
0.5009,0.0055,0.8651,-0.0884,0.2612,-0.1802,30.0714
0.4995,0.0072,0.8679,-0.2428,-0.3146,-0.1771,29.9184
0.5048,-0.004,0.8647,-0.1052,-0.2217,-0.0929,30.2753
0.4975,0.0013,0.8644,0.1355,0.2698,-0.2176,29.9205
0.5028,0.0047,0.8598,0.0178,0.0999,-0.3357,30.3198
0.4946,-0.0008,0.8588,0.021,-0.0081,0.1702,29.9385
0.4992,0.0024,0.863,0.7729,-0.5987,0.0945,30.0444
0.4974,-0.0013,0.8696,-0.3142,0.1101,-0.3109,29.77
0.4953,-0.0079,0.869,-0.4539,-0.1124,-0.2118,29.6791
0.5023,0.0044,0.869,0.3054,-0.2476,0.0603,30.0291
0.4991,-0.0016,0.8611,-0.0918,-0.0073,-0.2043,30.0974
0.5107,-0.0003,0.8676,0.3334,-0.085,-0.2021,30.4814
0.5033,0.0056,0.8594,0.1777,-0.0437,-0.12,30.357
0.5062,-0.0057,0.8679,0.0032,-0.0219,-0.1307,30.2498
