accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_accel
0.2685,-0.0051,0.9594,0.4644,0.0384,0.0204,15.6327
0.255,-0.0065,0.9614,0.2357,-0.1019,0.0742,14.8569
0.2592,0.004,0.9709,-0.2398,-0.0325,0.0407,14.9496
0.2596,0.0034,0.9733,0.1478,-0.3254,0.1433,14.9366
0.2612,0.0046,0.9625,0.6641,0.2937,-0.3068,15.1837
0.26,-0.0005,0.9641,-0.1077,-0.1794,0.3194,15.0942
0.2582,-0.0111,0.9636,0.139,0.2235,-0.2446,15.0
0.258,-0.0046,0.9593,0.4435,-0.1828,-0.8858,15.0553
0.2566,-0.0017,0.9587,0.036,0.099,-0.0744,14.9823
0.2605,-0.0003,0.9732,0.1692,-0.0777,0.1452,14.986
0.2652,0.0061,0.9608,-0.1318,0.2414,0.5121,15.4295
0.2574,0.0022,0.9639,-0.3051,0.139,-0.2635,14.9497
0.2693,-0.0023,0.9582,-0.3525,0.0487,-0.0896,15.6962
0.259,0.0011,0.9687,-0.305,0.4031,-0.0911,14.9715
0.2569,0.0004,0.9718,0.4029,-0.3032,-0.2823,14.8065
0.2611,0.0029,0.9615,0.007,-0.0983,0.1779,15.1942
0.2636,0.0035,0.9532,-0.3327,0.0392,0.3963,15.4601
0.2586,0.0042,0.9684,-0.3402,-0.1098,-0.062,14.9532
0.256,-0.0019,0.9723,0.2973,-0.3238,-0.177,14.7489
0.2584,-0.0014,0.9619,-0.6758,0.1909,0.1515,15.035
0.2606,-0.0037,0.973,0.3666,-0.1549,-0.0941,14.9917
0.2607,0.0037,0.9717,-0.1808,-0.3121,-0.4351,15.0198
0.2594,-0.0057,0.9655,-0.0958,-0.5834,0.1638,15.0349
0.2619,-0.0024,0.9646,0.3502,0.0233,-0.4688,15.189
0.261,-0.0046,0.9743,-0.0339,-0.2103,-0.2821,14.9955
0.2592,-0.0069,0.9776,-0.3474,-0.2505,-0.165,14.85
0.2524,0.0005,0.9679,0.342,0.2095,-0.2327,14.615
0.2597,-0.0031,0.969,-0.1714,-0.6217,0.2922,15.0028
